Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
119,Professional developer,"Yes, both",United States,No,"Independent contractor, freelancer, or self-employed",Primary/elementary school,NA,All or almost all the time (I'm full-time remote),NA,NA,4 to 5 years,4 to 5 years,NA,Web developer; Mobile developer; Data scientist; Database administrator; Systems administrator,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",2,Not applicable/ never,Somewhat important,Not very important,Important,Important,Somewhat important,Somewhat important,Very important,Important,Important,Important,Important,Important,Not at all important,Somewhat important,Somewhat important,Stock options; Vacation/days off; Equipment; Remote options; Meals,No,NA,A friend told me about a job opportunity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,NA,NA,NA,NA,NA,7:00 AM,CoffeeScript; JavaScript; Objective-C; PHP; Python; Ruby; SQL; Swift,C#; R; VB.NET,NA,.NET Core,Redis; MySQL,NA,iOS; Mac OS; Arduino; Raspberry Pi; Amazon Web Services (AWS),Android; iOS; Mac OS; Arduino; Raspberry Pi; Amazon Web Services (AWS),Atom; Vim; Xcode,Keep the room absolutely quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser; iOS app; Android browser; Android app,At least once each day,At least once each day,Several times,Several times,Several times,Once or twice,Several times,At least once each day,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A master's degree,White or of European descent,Disagree,Agree,Disagree,Agree,NA,NA
120,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,14 to 15 years,2 to 3 years,NA,Web developer; DevOps specialist,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Online course; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Professional developer,No,Argentina,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,NA,All or almost all the time (I'm full-time remote),NA,NA,11 to 12 years,9 to 10 years,NA,Web developer; Mobile developer,NA,NA,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn,I received bad news about the future of my company or depart,NA,Important,Important,Very important,Somewhat important,Somewhat important,Important,Important,Not very important,Not very important,Important,NA,NA,NA,Somewhat important,Self-taught,Official documentation; Stack Overflow Q&A; Stack Overflow Docs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Professional developer,"Yes, I program as a hobby",Uruguay,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,Venture-funded startup,5 to 6 years,2 to 3 years,NA,Web developer; Mobile developer,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither underpaid nor overpaid,Tabs,Somewhat important,Online course; On-the-job training; Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A,NA,Take online courses; Bootcamp; Part-time/evening courses,8:00 AM,C#; Java; JavaScript; Python; SQL; TypeScript,C#; Java; JavaScript; Python; SQL; TypeScript,AngularJS; Node.js; React; Cordova; Xamarin; Firebase; .NET Core,AngularJS; Node.js; Cordova; Firebase; .NET Core,MongoDB; Redis; SQL Server; MySQL; SQLite,Cassandra; MongoDB; Redis; SQL Server; MySQL; SQLite,Android; Salesforce; Amazon Web Services (AWS); Microsoft Azure,Android; Microsoft Azure,Visual Studio Code,Turn on some music,Agile; Scrum; Pair,Git,Multiple times a day,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat agree,Disagree,Strongly disagree,Benchmarked product performance; Manager's rating; Peers' rating,Not at all satisfied,Not very satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,10,Desktop; Android browser; Other phone browser,At least once each week,Haven't done at all,At least once each week,At least once each week,At least once each week,Several times,Several times,Once or twice,Somewhat agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Male,"Some college/university study, no bachelor's degree",White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,NA,NA
123,Professional developer,No,Italy,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,All or almost all the time (I'm full-time remote),NA,NA,20 or more years,20 or more years,NA,Web developer; Desktop applications developer,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Agree,NA,Somewhat agree,I am actively looking for a job,4,Between 2 and 4 years ago,Important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Retirement; Equipment; Remote options,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Important,Online course; On-the-job training; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,Return to college; Master's degree; Take online courses; Buy books and work through the exercises,9:00 AM,C#; JavaScript; PHP; SQL,JavaScript; PHP; SQL,.NET Core,NA,SQL Server; MySQL; Oracle,MySQL; PostgreSQL; Oracle,NA,NA,Notepad++; Sublime Text; NetBeans; Visual Studio,Keep the room absolutely quiet,Waterfall; Agile,Git,A few times a week,Somewhat agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Hours worked; Customer satisfaction; On time/in budget; Revenue performance,Satisfied,Somewhat satisfied,Satisfied,Not very satisfied,Not very satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,10,Desktop,At least once each day,Once or twice,Once or twice,Haven't done at all,Once or twice,Once or twice,At least once each day,Several times,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Male,Primary/elementary school,White or of European descent,Strongly agree,Somewhat agree,Disagree,Agree,NA,NA
124,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Some college/university study without earning a bachelor's degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,11 to 12 years,4 to 5 years,NA,Other,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Between 1 and 2 years ago,Not very important,Important,Important,Important,Important,Somewhat important,Very important,Important,Very important,Somewhat important,Not very important,Very important,Not at all important,Not very important,Important,Stock options; Retirement; Annual bonus; Vacation/days off; Remote options,No,LinkedIn,A recruiter contacted me,An external recruiter or headhunter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat underpaid,Both,Not at all important,Self-taught,Official documentation; Stack Overflow Q&A; Non-Stack online communities,NA,NA,6:00 AM,C#; SQL,JavaScript; Scala,.NET Core,AngularJS; Hadoop; Node.js; Spark,SQL Server,MongoDB; Redis,NA,Microsoft Azure,Visual Studio,Turn on some music,Agile; Scrum; Kanban,Git,A few times a week,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,On time/in budget; Manager's rating; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I've visited Stack Overflow, but haven't logged in/created an account",9,Desktop,At least once each week,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Male,A master's degree,White or of European descent,Strongly agree,Somewhat agree,Disagree,Somewhat agree,115e3,NA
125,Student,"Yes, both",Denmark,"Yes, full-time","Not employed, and not looking for work",Primary/elementary school,NA,NA,NA,NA,5 to 6 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",0,Not applicable/ never,Somewhat important,Very important,Important,Somewhat important,Very important,Important,Very important,Very important,Somewhat important,Somewhat important,Important,Very important,Important,Important,Important,Vacation/days off; Equipment; Private office; Expected work hours; Meals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,NA,Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Friends network; Other,NA,NA,9:00 AM,Java; JavaScript; Lua; PHP; R; SQL,Groovy; Java; JavaScript; Lua; SQL; TypeScript,React; Spark,React; Spark,PostgreSQL,PostgreSQL,Windows Desktop; Arduino; Mainframe,Windows Desktop; Arduino; Mainframe,Sublime Text; IntelliJ; RStudio,Turn on some music,Kanban,Git,Multiple times a day,Agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Hours worked; Customer satisfaction; On time/in budget; Revenue performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7,Desktop,At least once each week,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Male,I don't know/not sure,White or of European descent,Disagree,Strongly agree,Strongly disagree,Strongly agree,NA,68123.5042735043
126,Professional developer,No,United States,No,Employed full-time,Bachelor's degree,Something else,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,9 to 10 years,NA,Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist; Quality assurance engineer,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not interested in new job opportunities,NA,More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health benefits; Equipment; Long-term leave; Expected work hours; Remote options,Yes,LinkedIn,I received bad news about the future of my company or depart,A general-purpose job board,Very important,Important,Very important,Not at all important,Important,Somewhat important,Not at all important,Not very important,Not at all important,Somewhat important,U.S. dollars ($),Greatly underpaid,Spaces,NA,NA,NA,NA,NA,7:00 AM,C++; C#; Java,Clojure; Groovy; Matlab; Python; SQL,React; .NET Core,AngularJS; Node.js,NA,NA,Windows Desktop,Android; Raspberry Pi; Amazon Web Services (AWS),Notepad++; Eclipse; IntelliJ; Visual Studio,Something else,Waterfall; Agile; Scrum; Pair,Mercurial,Multiple times a day,Disagree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Customer satisfaction; Benchmarked product performance; Peers' rating; Other,Very satisfied,Satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot of influence,Some influence,No influence at all,Some influence,Some influence,Some influence,Not much influence,No influence at all,No influence at all,No influence at all,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Male,A master's degree,I don’t know,Disagree,Strongly disagree,Disagree,Somewhat agree,93e3,NA
127,Professional developer,"Yes, I program as a hobby",Estonia,No,Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years,5 to 6 years,NA,Web developer,Back-end Web developer,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn; Other,A recruiter contacted me,I visited the company's Web site and found a job listing there,Important,Somewhat important,Important,Not very important,Somewhat important,Somewhat important,Not very important,Somewhat important,Not very important,Important,Euros (€),Somewhat underpaid,Tabs,Somewhat important,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A,NA,Get a job as a QA tester,8:00 AM,C#; Java; JavaScript; Python; SQL,Erlang; Python,Node.js; .NET Core,NA,Redis; PostgreSQL,NA,NA,NA,Notepad++; Eclipse; NetBeans; PyCharm,"Put on some ambient sounds (e.g. whale songs, forest sounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Satisfied,A lot of influence,Some influence,Not much influence,Some influence,Some influence,No influence at all,Some influence,Not much influence,Not much influence,No influence at all,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Once or twice,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Disagree,Male,A master's degree,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,25806.4516129032,NA
128,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",18 to 19 years,17 to 18 years,NA,Web developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agile; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
